sku,categories
/,"cat_3,cat_11,cat_14,cat_21,cat_2224,cat_8"
107543301,"cat_1968,cat_3,cat_11,cat_19,cat_66,cat_8,cat_17,cat_65"
107543501,"cat_1968,cat_3,cat_11,cat_19,cat_93,cat_8,cat_17,cat_92"
107544001,"cat_1968,cat_3,cat_11,cat_14,cat_8"
107544101,"cat_1968,cat_3,cat_11,cat_14,cat_8"
107544201,"cat_1968,cat_3,cat_11,cat_14,cat_8"
107544301,"cat_1968,cat_3,cat_11,cat_14,cat_8"
107544501,"cat_1968,cat_3,cat_11,cat_19,cat_20,cat_17,cat_18"
107544901,"cat_1968,cat_3,cat_11,cat_19,cat_93,cat_8,cat_17,cat_92"
107545101,"cat_1968,cat_2374,cat_3,cat_11,cat_45,cat_80,cat_21,cat_40,cat_78,cat_2224,cat_773,cat_786,cat_8,cat_38,cat_77"
107545201,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107545501,"cat_1968,cat_3,cat_1549,cat_1561"
107545601,"cat_1968,cat_3,cat_11,cat_1551,cat_8,cat_1549"
107546501,"cat_1968,cat_3,cat_11,cat_285,cat_115,cat_283,cat_21,cat_279,cat_2224,cat_8,cat_281"
107547101,"cat_1968,cat_3,cat_21,cat_1558,cat_1733,cat_2224,cat_8,cat_1549,cat_1734"
107547201,"cat_1968,cat_2374,cat_3,cat_21,cat_326,cat_2224"
107559301,"cat_2127,cat_3,cat_14"
107562601,"cat_2127,cat_3,cat_11,cat_14"
107574101,"cat_3,cat_11,cat_82,cat_8,cat_27"
107575601,"cat_2374,cat_3,cat_21,cat_40,cat_2224,cat_773,cat_38"
107576601,"cat_3,cat_11,cat_1345,cat_14"
107583201,"cat_2127,cat_3,cat_14"
107583401,"cat_2127,cat_3,cat_14"
107583501,"cat_2127,cat_3,cat_14"
107583601,"cat_2127,cat_3,cat_14"
107583801,"cat_2127,cat_3,cat_14"
107583901,"cat_2127,cat_3,cat_14"
107584001,"cat_2127,cat_3,cat_14"
107584101,"cat_2127,cat_3,cat_14"
107584201,"cat_2127,cat_3,cat_14"
107584401,"cat_2127,cat_3,cat_14"
107584501,"cat_2127,cat_3,cat_14"
107584601,"cat_2127,cat_3,cat_14"
107584701,"cat_2127,cat_3,cat_14"
107585001,"cat_2127,cat_3,cat_14"
107585301,"cat_2127,cat_3,cat_11"
107585401,"cat_2127,cat_3,cat_11,cat_14"
107585601,"cat_2127,cat_3,cat_11"
107586301,"cat_2127,cat_3,cat_11,cat_14"
107586401,"cat_2127,cat_3,cat_11"
107586501,"cat_2127,cat_3,cat_11,cat_14"
107586601,"cat_2127,cat_3,cat_11,cat_14"
107586801,"cat_2127,cat_3,cat_11,cat_14"
107586901,"cat_2127,cat_3,cat_11"
107587101,"cat_2127,cat_3,cat_11,cat_14"
107587501,"cat_2127,cat_3,cat_14"
107587601,"cat_2127,cat_3,cat_14"
107587701,"cat_2127,cat_3,cat_14"
107587801,"cat_2127,cat_3,cat_14"
107587901,"cat_2127,cat_3,cat_14"
107588001,"cat_2127,cat_3,cat_14"
107588101,"cat_2127,cat_3,cat_14"
107588501,"cat_2127,cat_3,cat_14"
107589101,"cat_2127,cat_3,cat_14"
107589301,"cat_2127,cat_3,cat_14"
107589401,"cat_2127,cat_3,cat_14"
107595501,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
